hbm_id,cycles,mem_cycles,avg_latency,repair_none,repair_layer_a,repair_layer_b,repair_layer_c,repair_layer_d,total_repaired,K,bad_banks,ded_rows
1038,3695363.0,3695905.0,26.10206865625,586934,1,37,1,0,39,0,0,708
1039,3695311.0,3695891.0,26.10123979375,583505,2,47,2,3417,3468,97,3,676
1040,3695325.0,3695900.0,26.10121654375,575275,1,33,0,11664,11698,327,10,643
1041,3695294.0,3695897.0,26.10114288125,582604,0,62,2,4305,4369,130,4,679
1042,3695334.0,3695904.0,26.10125565625,582280,0,57,3,4633,4693,130,4,690
1043,3695276.0,3695849.0,26.10095523125,585849,0,46,0,1078,1124,33,1,664
1044,3695363.0,3695905.0,26.10206865625,586933,0,40,0,0,40,0,0,676
1045,3695302.0,3695900.0,26.1011230875,580951,2,52,1,5967,6022,162,5,632
1046,3695363.0,3695905.0,26.10206865625,586909,0,64,0,0,64,0,0,704
1047,3695318.0,3695894.0,26.1013675875,583438,2,62,1,3470,3535,97,3,710
1048,3695342.0,3695899.0,26.10122644375,580166,1,56,1,6749,6807,195,6,678
1049,3695298.0,3695888.0,26.10106586875,580161,0,73,2,6737,6812,195,6,695
1050,3695335.0,3695902.0,26.10126304375,576540,0,43,1,10389,10433,294,9,639
1051,3695271.0,3695908.0,26.101219175,583452,0,58,2,3461,3521,97,3,674
1052,3695333.0,3695901.0,26.10114049375,576664,0,59,3,10247,10309,294,9,647
1053,3695363.0,3695905.0,26.10206865625,586921,0,52,0,0,52,0,0,668
1054,3695363.0,3695905.0,26.10206865625,586917,0,54,2,0,56,0,0,667
1055,3695328.0,3695903.0,26.10123264375,582512,1,54,1,4405,4461,130,4,677
1056,3695308.0,3695889.0,26.1010568125,581104,0,53,1,5815,5869,162,5,690
1057,3695340.0,3695903.0,26.1014337625,581354,2,49,1,5567,5619,162,5,691
1058,3695363.0,3695905.0,26.10206865625,586918,0,53,2,0,55,0,0,681
1059,3695283.0,3695877.0,26.1011095,576495,0,54,3,10421,10478,294,9,640
1060,3695321.0,3695904.0,26.101252075,585720,0,33,1,1219,1253,33,1,720
